,,,,,,,,,,,,,,,,,,,,,
Location,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
               Poland,   1 885,   1 900,   1 975,   1 735,   1 966,   2 466,   2 826,   3 179,   2 959,   2 577,   2 238,   2 325,   2 725,   2 449,   1 856,   1 045,884,558,239,57,5
Moldova,203,222,217,202,241,330,418,356,302,261,234,287,258,230,105,80,53,26,8,1,0
               Romania,940,965,   1 081,995,   1 010,   1 076,   1 396,   1 190,   1 523,   1 503,   1 526,   1 043,   1 290,   1 246,927,603,537,275,94,17,1
               Russia,   9 272,   9 351,   8 174,   7 082,   6 615,   8 993,   12 544,   11 925,   10 605,   9 771,   8 480,   10 418,   10 074,   8 428,   5 390,   3 159,   3 486,   1 390,668,102,9
               Slovakia,284,283,283,263,291,365,410,437,458,404,347,362,362,333,237,162,100,57,19,3,0
               Ukraine,   2 114,   2 476,   2 404,   1 980,   2 146,   2 752,   3 585,   3 624,   3 337,   3 069,   2 803,   3 104,   2 928,   2 612,   1 769,   1 214,   1 187,412,188,27,2
            Northern Europe,   6 078,   6 347,   6 205,   5 806,   6 251,   7 063,   7 262,   7 045,   6 779,   6 855,   7 201,   7 051,   6 177,   5 483,   5 391,   3 924,   2 704,   1 654,757,201,24
               Channel Islands,9,9,8,9,10,11,12,12,12,13,14,12,11,9,8,6,4,3,1,0,0
               Denmark,309,297,337,339,374,402,355,317,361,377,422,388,346,309,351,235,147,78,36,10,1
               Estonia,69,74,75,62,58,88,102,92,89,96,76,89,86,84,53,54,44,23,10,2,0
               Finland,264,305,310,296,313,359,347,359,345,314,351,370,357,356,358,225,159,96,44,10,1
               Iceland,20,23,23,21,22,26,23,24,22,21,21,21,20,17,14,9,6,4,2,0,0
               Ireland,314,358,357,312,290,278,311,385,396,368,312,289,250,231,197,134,88,46,18,5,1
               Latvia,114,94,102,87,70,119,142,121,121,133,119,145,130,120,75,88,49,35,18,5,1
               Lithuania,145,156,121,122,134,183,186,151,161,195,185,236,187,166,108,115,83,56,26,6,1
               Norway,302,313,321,322,353,373,377,362,347,378,377,335,311,275,267,180,113,71,34,10,1
               Sweden,601,593,586,541,544,733,693,627,609,655,679,617,567,527,564,430,270,162,77,21,2
               United Kingdom,   3 924,   4 120,   3 956,   3 686,   4 075,   4 484,   4 707,   4 588,   4 308,   4 296,   4 635,   4 539,   3 905,   3 382,   3 388,   2 442,   1 737,   1 078,491,130,16
            Southern Europe,   6 306,   7 085,   7 714,   7 521,   7 778,   8 168,   8 839,   9 999,   11 418,   12 024,   11 719,   11 211,   9 861,   8 698,   7 870,   6 086,   4 936,   3 214,   1 395,341,35
               Albania,166,168,162,200,228,244,224,167,153,171,184,202,186,144,108,87,54,23,7,1,0
               Bosnia and Herzegovina,133,162,181,165,216,187,216,242,221,227,231,269,242,222,143,99,85,25,11,2,0
               Croatia,184,202,211,197,236,236,258,282,288,269,281,300,289,276,206,156,134,71,25,4,0
               Greece,409,472,542,527,529,528,598,739,780,794,796,709,677,581,549,407,394,261,105,23,3
               Italy,   2 325,   2 670,   2 857,   2 876,   2 943,   3 161,   3 366,   3 633,   4 189,   4 833,   4 908,   4 659,   3 954,   3 531,   3 392,   2 637,   2 302,   1 397,640,173,17
               Malta,22,21,20,21,25,30,33,32,31,28,25,28,30,28,28,17,12,7,3,1,0
               Montenegro,37,37,39,39,41,43,43,46,43,41,38,42,40,37,25,16,13,6,2,0,0
               North Macedonia,112,116,112,121,130,153,162,164,155,145,145,138,129,116,79,55,34,14,3,0,0
               Portugal,401,440,490,525,540,534,561,654,765,810,743,738,673,621,567,451,352,224,85,19,2
               Serbia,419,437,487,513,529,573,618,597,622,608,571,551,548,595,464,266,204,105,28,3,0
               Slovenia,101,109,105,92,96,109,134,150,158,147,151,150,146,139,98,80,59,37,14,3,0
               Spain,   1 990,   2 244,   2 498,   2 238,   2 256,   2 362,   2 619,   3 283,   4 001,   3 938,   3 632,   3 414,   2 939,   2 401,   2 204,   1 811,   1 288,   1 039,471,112,13
            Western Europe,   10 109,   10 188,   10 285,   10 579,   10 966,   11 515,   12 478,   12 576,   11 947,   12 741,   14 558,   14 518,   12 813,   11 178,   9 721,   7 597,   6 334,   3 740,   1 764,490,47
               Austria,448,426,424,452,509,607,620,623,566,613,713,694,582,451,407,383,260,142,67,17,1
               Belgium,634,669,671,641,658,728,746,758,752,767,795,803,736,634,556,384,321,217,95,24,2
               France,   3 620,   3 907,   3 996,   3 888,   3 697,   3 674,   3 942,   4 070,   3 943,   4 382,   4 363,   4 272,   3 973,   3 792,   3 524,   2 204,   1 812,   1 330,665,201,19
               Germany,   4 059,   3 822,   3 812,   4 119,   4 553,   4 824,   5 442,   5 430,   5 060,   5 184,   6 681,   6 807,   5 821,   4 823,   3 834,   3 638,   3 259,   1 635,758,204,19
               Luxembourg,33,33,31,34,40,46,49,49,47,48,48,43,35,27,22,16,12,8,3,1,0
               Netherlands,859,894,938,   1 016,   1 021,   1 077,   1 077,   1 020,   1 005,   1 147,   1 274,   1 250,   1 125,   1 005,952,639,438,262,107,27,3
               Switzerland,452,433,410,425,484,556,598,622,571,596,677,644,536,442,422,330,229,145,67,16,2
         Northern America,   21 676,   22 030,   23 080,   23 239,   24 630,   26 577,   25 687,   24 276,   22 765,   22 445,   23 011,   24 312,   23 241,   19 976,   16 153,   10 957,   7 278,   4 431,   2 304,696,106
            Canada,   1 993,   1 978,   1 983,   1 988,   2 363,   2 733,   2 626,   2 652,   2 463,   2 383,   2 423,   2 759,   2 563,   2 150,   1 793,   1 226,815,519,253,70,9
US,   19 676,   20 045,   21 089,   21 243,   22 259,   23 835,   23 052,   21 616,   20 295,   20 054,   20 578,   21 542,   20 669,   17 819,   14 355,   9 728,   6 461,   3 911,   2 051,627,97
Andorra,10,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,
            Congo (Brazzaville),822,770,685,573,476,398,354,326,294,242,189,139,97,67,44,26,12,3,0,0,0
            Congo (Kinshasa),822,770,685,573,476,398,354,326,294,242,189,139,97,67,44,26,12,3,0,0,0
               Liechtenstein,33,33,31,34,40,46,49,49,47,48,48,43,35,27,22,16,12,8,3,1,0
               Monaco,33,33,31,34,40,46,49,49,47,48,48,43,35,27,22,16,12,8,3,1,0
Saint Kitts and Nevis,11,11,11,13,16,17,14,14,13,13,12,11,8,6,5,3,2,1,1,0,0
               San Marino,33,33,31,34,40,46,49,49,47,48,48,43,35,27,22,16,12,8,3,1,0
Diamond Princess,"0,016",0,"0,023",0,"0,347",0,"0,428",0,"0,334",0,"0,398",0,"0,923",0,"1,015",0,"0,216",0,0,0,0
