sort,Country/Region,Date,Confirmed,Recovered,Death
1,Germany,3/1/2020,130,16,3
2,Germany,3/2/2020,159,16,7
3,Germany,3/3/2020,196,16,9
4,Germany,3/4/2020,262,16,11
5,Germany,3/5/2020,482,16,17
6,Germany,3/6/2020,670,17,24
7,Germany,3/7/2020,799,18,28
8,Germany,3/8/2020,1040,18,44
9,Germany,3/9/2020,1176,18,67
10,Germany,3/10/2020,1457,18,84
11,Germany,3/11/2020,1908,25,94
12,Germany,3/12/2020,2078,25,123
13,Germany,3/13/2020,3675,46,157
14,Germany,3/14/2020,4585,46,206
15,Germany,3/15/2020,5795,46,267
16,Germany,3/16/2020,7272,67,342
17,Germany,3/17/2020,9257,67,433
18,Germany,3/18/2020,12327,105,533
19,Germany,3/19/2020,15320,113,645
20,Germany,3/20/2020,19848,180,775
21,Germany,3/21/2020,22213,233,920
22,Germany,3/22/2020,24873,266,1107
23,Germany,3/23/2020,29056,266,1275
24,Germany,3/24/2020,32986,3243,1444
25,Germany,3/25/2020,37323,3547,1584
26,Germany,3/26/2020,43938,5673,1810
27,Germany,3/27/2020,50871,6658,2016
28,Germany,3/28/2020,57695,8481,2349
29,Germany,3/29/2020,62095,9211,2607
30,Germany,3/30/2020,66885,13500,2767
31,Germany,3/31/2020,71808,16100,2736
32,Germany,4/1/2020,77872,18700,3022
33,Germany,4/2/2020,84794,22440,3194
34,Germany,4/3/2020,91159,24575,3294
35,Germany,4/4/2020,96092,26400,3804
36,Germany,4/5/2020,100123,28700,4052
37,Germany,4/6/2020,103374,28700,4352
38,Germany,4/7/2020,107663,36081,4459
39,Germany,4/8/2020,113296,46300,4586
40,Germany,4/9/2020,118181,52407,4862
41,Germany,4/10/2020,122171,53913,5033
42,Germany,4/11/2020,124908,57400,5279
43,Germany,4/12/2020,127854,60300,5575
44,Germany,4/13/2020,130072,64300,5760
45,Germany,4/14/2020,131359,68200,5877
46,Germany,4/15/2020,134753,72600,5976
47,Germany,4/16/2020,137698,77000,6126
48,Germany,4/17/2020,141397,83114,6314
49,Germany,4/18/2020,143342,85400,6467
50,Germany,4/19/2020,145184,88000,6623
51,Germany,4/20/2020,147065,91500,6736
52,Germany,4/21/2020,148291,95200,6812
53,Germany,4/22/2020,150648,99400,6866
54,Germany,4/23/2020,153129,103300,6993
55,Germany,4/24/2020,154999,109800,6993
56,Germany,4/25/2020,156513,109800,7275
57,Germany,4/26/2020,157770,112000,7392
58,Germany,4/27/2020,158758,114500,7510
59,Germany,4/28/2020,159912,117400,7549
60,Germany,4/29/2020,161539,120400,7569
61,Germany,4/30/2020,163009,123500,7661
62,Germany,5/1/2020,164077,126900,7738
63,Germany,5/2/2020,164967,129000,7861
64,Germany,5/3/2020,165664,130600,7884
