Date,In_Short,State,Description
2020-03-16,"Schools, day care centers closed.",Alle,"Schools, day care centers closed."
2020-03-16,"Entry bans and strict border controls.",Alle,"Germany has decided on entry bans and strict controls at the borders to Switzerland, France, Austria, Denmark, Luxembourg."
2020-03-20,"Quarantine Bavaria, only vital locations open.",Bayern,"Only vital location, like supermarkets, doctors stay open. Not more than two people are allowed to stay together in public (except those that live together. Families etc.)."
2020-03-22,"Quarantine country-wide, only vital locations open.",Alle,"Only vital location, like supermarkets, doctors stay open. Not more than two people are allowed to stay together in public (except those that live together. Families etc.)."
