Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
Hubei,Hubei,30.9756,112.2707,2/8/2020,780,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,2/7/2020,699,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,2/6/2020,618,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,2/5/2020,549,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,2/4/2020,479,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,2/3/2020,414,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,2/2/2020,350,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,2/1/2020,249,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/31/2020,204,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/30/2020,162,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/29/2020,125,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/28/2020,125,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/27/2020,76,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/26/2020,52,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/25/2020,40,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/24/2020,24,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/23/2020,17,CHN,142,30,
Hubei,Hubei,30.9756,112.2707,1/22/2020,17,CHN,142,30,
,Germany,51,9,4/26/2020,5976,DEU,150,155,
,Germany,51,9,4/25/2020,5877,DEU,150,155,
,Germany,51,9,4/24/2020,5760,DEU,150,155,
,Germany,51,9,4/23/2020,5575,DEU,150,155,
,Germany,51,9,4/22/2020,5279,DEU,150,155,
,Germany,51,9,4/21/2020,5033,DEU,150,155,
,Germany,51,9,4/20/2020,4862,DEU,150,155,
,Germany,51,9,4/19/2020,4586,DEU,150,155,
,Germany,51,9,4/18/2020,4459,DEU,150,155,
,Germany,51,9,4/17/2020,4352,DEU,150,155,
,Germany,51,9,4/16/2020,4052,DEU,150,155,
,Germany,51,9,4/15/2020,3804,DEU,150,155,
,Germany,51,9,4/14/2020,3294,DEU,150,155,
,Germany,51,9,4/13/2020,3194,DEU,150,155,
,Germany,51,9,4/12/2020,3022,DEU,150,155,
,Germany,51,9,4/11/2020,2736,DEU,150,155,
,Germany,51,9,4/10/2020,2767,DEU,150,155,
,Germany,51,9,4/9/2020,2607,DEU,150,155,
,Germany,51,9,4/8/2020,2349,DEU,150,155,
,Germany,51,9,4/7/2020,2016,DEU,150,155,
,Germany,51,9,4/6/2020,1810,DEU,150,155,
,Germany,51,9,4/5/2020,1584,DEU,150,155,
,Germany,51,9,4/4/2020,1444,DEU,150,155,
,Germany,51,9,4/3/2020,1275,DEU,150,155,
,Germany,51,9,4/2/2020,1107,DEU,150,155,
,Germany,51,9,4/1/2020,920,DEU,150,155,
,Germany,51,9,3/31/2020,775,DEU,150,155,
,Germany,51,9,3/30/2020,645,DEU,150,155,
,Germany,51,9,3/29/2020,533,DEU,150,155,
,Germany,51,9,3/28/2020,433,DEU,150,155,
,Germany,51,9,3/27/2020,342,DEU,150,155,
,Germany,51,9,3/26/2020,267,DEU,150,155,
,Germany,51,9,3/25/2020,206,DEU,150,155,
,Germany,51,9,3/24/2020,157,DEU,150,155,
,Germany,51,9,3/23/2020,123,DEU,150,155,
,Germany,51,9,3/22/2020,94,DEU,150,155,
,Germany,51,9,3/21/2020,84,DEU,150,155,
,Germany,51,9,3/20/2020,67,DEU,150,155,
,Germany,51,9,3/19/2020,44,DEU,150,155,
,Germany,51,9,3/18/2020,28,DEU,150,155,
,Germany,51,9,3/17/2020,24,DEU,150,155,
,Germany,51,9,3/16/2020,17,DEU,150,155,
,Germany,51,9,3/15/2020,11,DEU,150,155,
,Germany,51,9,3/14/2020,9,DEU,150,155,
,Germany,51,9,3/13/2020,7,DEU,150,155,
,Germany,51,9,3/12/2020,3,DEU,150,155,
